,Player,height,weight,collage,born,birth_city,birth_state
443,Lou Tsioropoulos,196,86,University of Kentucky,1930,Lynn,Massachusetts
444,Doug Bolstorff,193,88,University of Minnesota,1931,,
445,George Brown,198,86,Wayne State University,1935,,
446,Dick Duckett,185,83,St. John's University,1933,,
447,Pat Dunn,188,77,Utah State University,1931,,
448,Bill Ebben,193,86,University of Detroit Mercy,1935,,
449,Bo Erias,190,99,Niagara University,1932,Astoria,New York
450,Larry Friend,193,83,University of California,1935,Chicago,Illinois
451,Hot Rod,193,83,,1935,,
452,McCoy Ingram,203,95,Jackson State University,1931,,
453,Sam Jones*,193,89,North Carolina Central University,1933,Wilmington,North Carolina
454,Jim Krebs,203,104,Southern Methodist University,1935,Webster Groves,Missouri
455,Brendan McCann,188,80,St. Bonaventure University,1935,Brooklyn,New York
456,Worthy Patterson,188,79,University of Connecticut,1931,New Haven,Connecticut
457,Jerry Paulson,188,83,Manhattan College,1935,,
458,Ray Radziszewski,196,95,Saint Joseph's University,1935,,
459,Lennie Rosenbluth,193,86,University of North Carolina,1933,New York,New York
460,Woody Sauldsberry,201,99,Texas Southern University,1934,Winnsboro,Louisiana
461,Guy Sparrow,198,98,University of Detroit Mercy,1932,Pontiac,Michigan
462,Charlie Tyra,203,104,University of Louisville,1935,Louisville,Kentucky
463,Jim Walsh,193,88,Stanford University,1930,San Francisco,California
464,Win Wilfong,188,83,University of Memphis,1933,,
465,Elgin Baylor*,196,102,Seattle University,1934,Washington,District of Columbia
466,Jerry Bird,198,95,University of Kentucky,1935,Corbin,Kentucky
467,Bucky Bockhorn,193,90,University of Dayton,1933,Campbell Hill,Illinois
468,Pete Brennan,198,92,University of North Carolina,1936,Brooklyn,New York
469,Barney Cable,201,79,Bradley University,1935,,
470,Archie Dees,203,92,Indiana University,1936,Ethel,Mississippi
471,Connie Dierking,206,100,University of Cincinnati,1936,Brooklyn,New York
472,Boo Ellis,196,83,Niagara University,1936,,
473,Wayne Embry*,203,108,Miami University,1937,Springfield,Ohio
474,Mike Farmer,201,95,University of San Francisco,1936,Oklahoma City,Oklahoma
475,Dave Gambee,198,97,Oregon State University,1937,Portland,Oregon
476,Hal Greer*,188,79,Marshall University,1936,Huntington,West Virginia
477,Steve Hamilton,198,86,Morehead State University,1935,Columbia,Kentucky
478,Vern Hatton,190,88,University of Kentucky,1936,Owingsville,Kentucky
479,Andy Johnson,196,97,University of Portland,1932,Los Angeles,California
480,K.C. Jones*,196,97,,1932,,
481,Tommy Kearns,180,83,University of North Carolina,1936,New York,New York
482,Shellie McMillon,196,92,Bradley University,1936,,
483,Jim Palmer,203,101,University of Dayton,1933,Keokee,Virginia
484,Jack Parr,206,99,Kansas State University,1936,Louisville,Kentucky
485,Hub Reed,206,97,Oklahoma City University,1936,Harrah,Oklahoma
486,Guy Rodgers*,183,83,Temple University,1935,Philadelphia,Pennsylvania
487,Phil Rollins,188,83,University of Louisville,1934,Wickliffe,Kentucky
488,Larry Staverman,201,92,Thomas More College,1936,,
489,Bennie Swain,203,99,Texas Southern University,1933,,
490,Gary Alcorn,206,102,"California State University, Fresno",1936,,
491,Bob Anderegg,190,90,Michigan State University,1937,Monroe,Wisconsin
492,Dick Barnett,193,86,Tennessee State University,1936,Gary,Indiana
493,Whitey Bell,183,81,North Carolina State University,1932,Monticello,Kentucky
494,Wilt Chamberlain*,216,124,University of Kansas,1936,Philadelphia,Pennsylvania
495,Bob Ferry,203,104,Saint Louis University,1937,St. Louis,Missouri
496,Johnny Green,196,90,Michigan State University,1933,Dayton,Ohio
497,Gene Guarilia,196,99,George Washington University,1937,Duryea,Pennsylvania
498,Tom Hawkins,196,95,University of Notre Dame,1936,Chicago,Illinois
499,Bailey Howell*,201,95,Mississippi State University,1937,Middleton,Tennessee
500,Maury King,188,88,University of Kansas,1935,,
501,Rudy LaRusso,201,99,Dartmouth College,1937,Brooklyn,New York
502,Nick Mantis,190,86,Northwestern University,1935,,
503,Cal Ramsey,193,90,New York University,1937,Selma,Alabama
504,John Richter,206,102,North Carolina State University,1937,,
505,Joe Ruklick,206,99,Northwestern University,1938,Princeton,Illinois
506,Bobby Smith,193,86,West Virginia University,1937,,
507,Wayne Stevens,190,83,University of Cincinnati,1936,,
508,Tony Windis,185,72,University of Wyoming,1933,,
509,Al Attles,183,79,North Carolina Agricultural and Technical State University,1936,Newark,New Jersey
510,Bob Boozer,203,97,Kansas State University,1937,Omaha,Nebraska
511,Dave Budd,198,92,Wake Forest University,1938,Woodbury,New Jersey
512,Ralph Davis,193,81,University of Cincinnati,1938,Vanceburg,Kentucky
513,Swede Halbrook,221,106,Oregon State University,1933,,
514,Darrall Imhoff,208,99,University of California,1938,San Gabriel,California
515,Ron Johnson,203,97,University of Minnesota,1938,,
516,Howie Jolliff,203,97,,1938,,
517,Willie Jones,190,83,Northwestern University,1936,,
518,Pickles Kennedy,180,81,Temple University,1938,Philadelphia,Pennsylvania
519,Fred LaCour,196,95,University of San Francisco,1938,,
520,George Lee,193,90,University of Michigan,1936,,
521,Bob McNeill,185,77,Saint Joseph's University,1938,Philadelphia,Pennsylvania
522,Jackie Moreland,201,97,Louisiana Tech University,1938,Minden,Louisiana
523,Don Ohl,190,86,University of Illinois at Urbana-Champaign,1936,Murphysboro,Illinois
524,Joe Roberts,198,97,Ohio State University,1936,,
525,Oscar Robertson*,196,92,University of Cincinnati,1938,Charlotte,Tennessee
526,Tom Sanders*,198,95,New York University,1938,New York,New York
527,Jerry West*,188,79,West Virginia University,1938,Chelyan,West Virginia
528,Lenny Wilkens*,185,81,Providence College,1937,Brooklyn,New York
529,Stacey Arceneaux,193,95,Iowa State University,1936,,
530,Walt Bellamy*,211,102,Indiana University,1939,New Bern,North Carolina
531,George Blaney,185,79,College of the Holy Cross,1939,Jersey City,New Jersey
532,George Bon,185,79,,1939,,
533,Joe Buckhalter,201,95,Tennessee State University,1937,,
534,Cleveland Buckner,206,95,Jackson State University,1938,Yazoo City,Mississippi
535,Ed Burton,198,102,Michigan State University,1939,,
536,Donnie Butcher,188,90,Pikeville College,1936,Williamsport,Kentucky
537,Al Butler,188,79,Niagara University,1938,Rochester,New York
538,Howie Carl,175,72,DePaul University,1938,Chicago,Illinois
539,Jimmy Darrow,178,77,Bowling Green State University,1937,Akron,Ohio
540,Johnny Egan,180,81,Providence College,1939,Hartford,Connecticut
541,Rich Eichhorst,180,81,,1939,,
542,Cleo Hill,185,83,Winston-Salem State University,1938,Newark,New Jersey
543,Ron Horn,201,99,Indiana University,1938,Marion,Indiana
544,Doug Kistler,206,95,Duke University,1938,,
545,York Larese,193,83,University of North Carolina,1938,New York,New York
546,Ted Luckenbill,198,92,University of Houston,1939,,
547,Whitey Martin,188,83,St. Bonaventure University,1939,,
548,Tom Meschery,198,97,Saint Mary's College of California,1938,Harbin Manchuria,China
549,Paul Neumann,185,79,Stanford University,1938,,
550,Bevo Nordmann,208,102,Saint Louis University,1939,St. Louis,Missouri
551,Chuck Osborne,198,95,Western Kentucky University,1939,,
552,Gary Phillips,190,85,University of Houston,1939,Quincy,Illinois
553,Frank Radovich,203,106,Indiana University,1938,,
554,Ray Scott,206,97,University of Portland,1938,Philadelphia,Pennsylvania
555,Lee Shaffer,201,99,University of North Carolina,1939,Chicago,Illinois
556,Bob Sims,196,99,Pepperdine University,1938,,
557,Adrian Smith,185,81,University of Kentucky,1936,Farmington,Kentucky
558,Bill Smith,196,86,Saint Peter's College,1939,,
559,Sam Stith,188,83,St. Bonaventure University,1937,Greenville County,Virginia
560,Horace Walker,190,95,Michigan State University,1937,Chester,Pennsylvania
561,Bob Wiesenhahn,193,97,University of Cincinnati,1938,,
562,Wayne Yates,203,106,University of Memphis,1937,,
563,Dave Zeller,185,79,Miami University,1939,,
564,John Barnhill,185,81,Tennessee State University,1938,Sturgis,Kentucky
565,Zelmo Beaty*,206,102,Prairie View A&M University,1939,Hillister,Texas
566,Bill Bridges,198,103,University of Kansas,1939,Hobbs,New Mexico
567,Len Chappell,203,108,Wake Forest University,1941,Portage,Pennsylvania
568,Johnny Cox,193,81,University of Kentucky,1936,Neon,Kentucky
569,Dave DeBusschere*,198,99,University of Detroit Mercy,1940,Detroit,Michigan
570,Terry Dischinger,201,85,Purdue University,1940,Terre Haute,Indiana
571,Danny Doyle,203,90,Belmont Abbey College,1940,Long Island City,New York
572,Bob Duffy,193,79,Tulane University,1922,,
573,Leroy Ellis,208,95,St. John's University,1940,Far Rockaway,New York
574,Dave Fedor,198,86,Florida State University,1940,,
575,Jack Foley,190,77,College of the Holy Cross,1939,Worcester,Massachusetts
576,Dave Gunther,201,86,University of Iowa,1937,,
577,Charlie Hardnett,203,102,Grambling State University,1938,Atlanta,Georgia
578,John Havlicek*,196,92,Ohio State University,1940,Martins Ferry,Ohio
579,Wayne Hightower,203,87,University of Kansas,1940,Philadelphia,Pennsylvania
580,Paul Hogue,203,87,,1940,,
581,Kevin Loughery,190,86,St. John's University,1940,Brooklyn,New York
582,Bill McGill,206,102,University of Utah,1939,San Angelo,Texas
583,Porter Meriwether,188,81,Tennessee State University,1940,,
584,Howie Montgomery,196,99,University of Texas-Pan American,1940,,
585,Don Nelson*,198,95,University of Iowa,1940,Muskegon,Michigan
586,Mel Nowell,188,77,Ohio State University,1939,,
587,Bud Olsen,203,99,University of Louisville,1940,,
588,John Rudometkin,198,92,University of Southern California,1940,Santa Maria,California
589,Jeff Slade,198,99,Kenyon College,1941,,
590,Tom Stith,196,95,St. Bonaventure University,1939,Greenville County,Virginia
591,Dan Swartz,193,97,Morehead State University,1934,Owingsville,Kentucky
592,Dan Tieman,183,83,Thomas More College,1940,Covington,Kentucky
593,Gene Tormohlen,183,83,,1940,,
594,Chico Vaughn,188,86,Southern Illinois University,1940,Portland,Oregon
595,Chet Walker*,198,96,Bradley University,1940,Bethlehem,Mississippi
596,Ben Warley,196,90,Tennessee State University,1936,Washington,District of Columbia
597,Ralph Wells,185,81,Northwestern University,1940,,
598,Hubie White,193,92,Villanova University,1940,,
599,Gene Wiley,208,95,Wichita State University,1937,,
600,Jay Arnette,188,79,University of Texas at Austin,1938,Austin,Texas
601,Larry Comley,196,95,Kansas State University,1939,,
602,Mel Gibson,190,81,Western Carolina University,1940,Cordova,North Carolina
603,Jerry Greenspan,196,88,University of Maryland,1941,,
604,Reggie Harding,213,112,,1942,,
605,Jerry Harkness,188,79,Loyola University of Chicago,1940,New York,New York
606,Art Heyman,196,92,Duke University,1941,New York,New York
607,Gary Hill,193,83,Oklahoma City University,1941,,
608,Tom Hoover,206,104,Villanova University,1941,Washington,District of Columbia
609,Gus Johnson*,198,104,University of Idaho,1938,Akron,Ohio
610,Jim King,188,79,University of Tulsa,1941,Tulsa,Oklahoma
611,Don Kojis,196,97,Marquette University,1939,Milwaukee,Wisconsin
612,Jerry Lucas*,203,104,Ohio State University,1940,Middletown,Ohio
613,Eddie Miles,193,88,Seattle University,1940,North Little Rock,Arkansas
614,Mel Peterson,193,83,Wheaton College,1938,Thief River Falls,Minnesota
615,Ken Rohloff,183,88,North Carolina State University,1939,,
616,Larry Siegfried,190,86,Ohio State University,1939,Shelby,Ohio
617,Roger Strickland,196,90,Jacksonville University,1940,Jacksonville,Florida
618,Tom Thacker,188,77,University of Cincinnati,1939,Covington,Kentucky
619,Rod Thorn,193,88,West Virginia University,1941,Princeton,West Virginia
620,Nate Thurmond*,211,102,Bowling Green State University,1941,Akron,Ohio
621,Gerry Ward,193,88,Boston College,1941,,
622,John Windsor,203,97,Stanford University,1940,,
623,Jim Barnes,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
624,Ron Bonham,196,87,University of Cincinnati,1942,Muncie,Indiana
625,Gary Bradds,203,95,Ohio State University,1942,Jamestown,Ohio
626,Em Bryant,185,79,DePaul University,1938,Chicago,Illinois
627,Joe Caldwell,196,88,Arizona State University,1941,Texas City,Texas
628,Mel Counts,213,104,Oregon State University,1941,Coos Bay,Oregon
629,Steve Courtin,185,85,Saint Joseph's University,1942,,
630,Jerry Grote,193,97,Loyola Marymount University,1940,,
631,Happy Hairston,201,102,New York University,1942,Winston-Salem,North Carolina
632,Walt Hazzard,201,102,,1942,,
633,Les Hunter,201,95,Loyola University of Chicago,1942,Nashville,Tennessee
634,Luke Jackson,206,108,University of Texas-Pan American,1941,San Marcos,Texas
635,Larry Jones,188,81,University of Toledo,1942,Columbus,Ohio
636,Wali Jones,193,102,University of Kentucky,1926,Harlan,Kentucky
637,Howard Komives,185,83,Bowling Green State University,1941,Toledo,Ohio
638,Bud Koper,198,95,Oklahoma City University,1942,Rocky,Oklahoma
639,Barry Kramer,193,90,New York University,1942,Schenectady,New York
640,McCoy McLemore,201,104,Drake University,1942,Houston,Texas
641,Jeff Mullins,193,86,Duke University,1942,Astoria,New York
642,Cotton Nash,196,97,University of Kentucky,1942,Jersey City,New Jersey
643,Willis Reed*,206,106,Grambling State University,1942,Hico,Louisiana
644,Paul Silas,201,99,Creighton University,1943,Prescott,Arkansas
645,John Thompson*,208,102,Providence College,1941,Washington,District of Columbia
646,John Tresvant,201,97,Seattle University,1939,,
647,George Wilson,203,102,University of Cincinnati,1942,Meridian,Mississippi
648,Rick Barry*,201,92,University of Miami,1944,Elizabeth,New Jersey
649,Jesse Branson,201,88,Elon University,1942,Burlington,North Carolina
650,Bill Buntin,201,113,University of Michigan,1942,Detroit,Michigan
651,Barry Clemens,198,95,Ohio Wesleyan University,1943,Dayton,Ohio
652,Billy Cunningham*,198,95,University of North Carolina,1943,Brooklyn,New York
653,Keith Erickson,196,88,"University of California, Los Angeles",1944,San Francisco,California
654,John Fairchild,203,92,Brigham Young University,1943,Encinitas,California
655,Will Frazier,201,95,Grambling State University,1942,Minden,Louisiana
656,Gail Goodrich*,185,77,"University of California, Los Angeles",1943,Los Angeles,California
657,Fred Hetzel,203,99,Davidson College,1942,Washington,District of Columbia
658,Jon McGlocklin,196,92,Indiana University,1943,Franklin,Indiana
659,Thales McReynolds,190,83,Miles College,1943,Birmingham,Alabama
660,Ron Reed,196,92,University of Notre Dame,1942,La Porte,Indiana
661,Jerry Sloan*,196,88,University of Evansville,1942,McLeansboro,Illinois
662,Willie Somerset,173,77,Duquesne University,1942,Sharon,Pennsylvania
663,Dave Stallworth,201,90,Wichita State University,1941,Dallas,Texas
664,Joe Strawder,208,106,Bradley University,1940,Belle Glade,Florida
665,Dick Van,208,106,,1940,,
666,Tom Van,208,106,,1940,,
667,Bob Warlick,196,90,Pepperdine University,1941,Hickory,North Carolina
668,Jim Washington,198,95,Villanova University,1943,Philadelphia,Pennsylvania
669,Ron Watts,198,95,Wake Forest University,1943,,
670,Bob Weiss,188,81,Pennsylvania State University,1942,Easton,Pennsylvania
671,Henry Akin,208,102,Morehead State University,1944,Detroit,Michigan
672,Johnny Austin,183,77,Boston College,1944,Washington,District of Columbia
673,Jim Barnett,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
674,Dave Bing*,190,81,Syracuse University,1943,Washington,District of Columbia
675,John Block,206,93,University of Southern California,1944,Los Angeles,California
676,Nate Bowman,208,104,Wichita State University,1943,Fort Worth,Texas
677,Jerry Chambers,196,83,University of Utah,1943,Washington,District of Columbia
678,Archie Clark,188,79,University of Minnesota,1941,Conway,Arkansas
679,Freddie Crawford,193,85,St. Bonaventure University,1941,New York,New York
680,Dave Deutsch,185,77,University of Rochester,1945,Brooklyn,New York
681,Joe Ellis,198,79,University of San Francisco,1944,,
682,Hank Finkel,213,108,University of Dayton,1942,Union City,New Jersey
683,Matt Guokas,190,88,Saint Joseph's University,1915,,
684,Bob Hogsett,201,104,University of Tennessee,1941,,
685,Lou Hudson,196,95,University of Minnesota,1944,Greensboro,North Carolina
686,Neil Johnson,203,95,Ohio State University,1929,Chillicothe,Ohio
687,Toby Kimball,198,99,University of Connecticut,1942,Framingham,Massachusetts
